Subjects,dual_task,single_auditory,single_visual,singleAve
3,1.043558824,0.777413043,0.73287234,0.755142692
4,0.692068182,0.616225,0.513586957,0.564905979
5,1.362193548,1.018085106,1.112468085,1.065276596
9,1.165292683,0.793113636,0.815212766,0.804163201
10,1.131608696,0.834510638,0.668276596,0.751393617
11,0.936860465,0.821891304,0.616145833,0.719018569
14,1.097071429,0.688891304,0.849702128,0.769296716
15,1.060906977,0.9974,0.784914894,0.891157447
16,1.094825,0.765744186,0.667361702,0.716552944
18,1.099404762,0.912652174,0.838404255,0.875528215
19,1.389538462,0.848369565,0.963533333,0.905951449
22,0.988826087,0.613916667,0.575711111,0.594813889
23,1.029682927,0.821261905,0.738711111,0.779986508
24,1.364222222,0.951404255,0.824869565,0.88813691
25,0.835555556,0.655391304,0.609956522,0.632673913
26,1.00172093,0.733787234,0.80412766,0.768957447
28,0.818904762,0.708911111,0.619875,0.664393056
29,1.071771429,0.840770833,0.779916667,0.81034375
31,1.16084,0.878674419,0.853422222,0.866048321
37,1.1289,0.788425532,0.916272727,0.85234913
38,1.18195122,0.956636364,0.864404255,0.91052031
40,1.359477273,1.091125,0.913702128,1.002413564
43,1.035707317,0.770111111,0.706659091,0.738385101
44,1.152568182,0.684326087,0.760377778,0.722351933
45,0.847042553,0.628229167,0.657875,0.643052084
46,1.09790625,0.89952381,0.7875,0.843511905
47,0.938255319,0.737416667,0.7548125,0.746114584
48,1.129095238,0.741021277,0.851291667,0.796156472
49,0.925566667,0.809666667,0.810847826,0.810257247
50,1.030166667,0.826954545,0.762613636,0.794784091
52,1.03785,0.90875,0.759093023,0.833921512
55,1.161886364,0.850875,0.895446809,0.873160905
56,1.079767442,0.795395349,0.674208333,0.734801841
57,1.00637931,0.776543478,0.679479167,0.728011323
59,0.958682927,0.706434783,0.741808511,0.724121647
61,1.158690476,0.956619048,0.924888889,0.940753969
62,1.068452381,0.792888889,0.735282609,0.764085749
63,1.039166667,0.729229167,0.770833333,0.75003125
64,0.937371429,0.724326087,0.7166875,0.720506794
65,1.069897436,0.771425532,0.780319149,0.775872341
66,1.080934783,0.792777778,0.777434783,0.785106281
67,0.822108696,0.6776875,0.605875,0.64178125
68,1.114857143,0.789340426,0.652755556,0.721047991
69,0.931357143,0.83602381,0.639234043,0.737628927
71,0.754425,0.684930233,0.577166667,0.63104845
72,1.031928571,0.770181818,0.769586957,0.769884388
73,1.0192,0.725382979,0.7731875,0.74928524
76,0.784311111,0.685638298,0.640276596,0.662957447
77,1.044238095,0.8248125,0.783770833,0.804291667
78,1.005697674,0.872354167,0.619733333,0.74604375
81,0.91365625,0.722386364,0.744948718,0.733667541
82,0.963666667,0.844382979,0.766191489,0.805287234
83,1.050862069,0.798130435,0.7695,0.783815218
84,0.834545455,0.729136364,0.576234043,0.652685204
85,0.615954545,0.477911111,0.500088889,0.489
86,1.102342857,0.857866667,0.693166667,0.775516667
87,1.160044444,0.758088889,0.8794,0.818744445
88,1.143666667,0.786886364,0.739444444,0.763165404
89,1.077,0.816617021,0.669,0.742808511
91,1.146114286,1.020511628,0.802826087,0.911668858
92,0.726512195,0.642085106,0.560382979,0.601234043
93,1.258892857,0.863076923,0.995102564,0.929089744
94,1.05597619,0.986217391,0.779893617,0.883055504
95,1.040948718,0.757977273,0.636444444,0.697210859
96,0.919578947,0.797478261,0.688255319,0.74286679
97,1.165885714,0.937825,0.917179487,0.927502244
99,0.997541667,0.735911111,0.661479167,0.698695139
100,0.889783784,0.82025,0.670979167,0.745614584
102,1.077825,0.702895833,0.654162791,0.678529312
103,1.055147059,0.924956522,0.84823913,0.886597826
105,0.796581395,0.648229167,0.589488889,0.618859028
106,1.109511111,0.919744681,0.818638298,0.86919149
109,1.000809524,0.71073913,0.760125,0.735432065
110,0.915173913,0.726553191,0.647020833,0.686787012
111,1.087777778,0.776979167,0.727645833,0.7523125
112,1.100323529,0.791023256,0.933488372,0.862255814
113,1.002909091,0.846613636,0.77,0.808306818
114,0.900767442,0.636238095,0.653139535,0.644688815
115,1.186930233,0.9295625,0.928319149,0.928940825
116,0.93797561,0.730765957,0.6825625,0.706664229
118,1.37175,0.821630435,0.883534884,0.85258266
119,0.781714286,0.556695652,0.56375,0.560222826
120,1.063325,0.906043478,0.790695652,0.848369565
121,1.021093023,0.830673913,0.749466667,0.79007029
122,0.9515,0.712586957,0.609869565,0.661228261
123,1.124372093,0.803068182,0.787043478,0.79505583
124,1.120555556,0.757666667,0.781234043,0.769450355
131,0.788692308,0.574714286,0.552090909,0.563402598
132,1.116717391,0.742883721,0.7400625,0.741473111
133,0.74275,0.543066667,0.582108696,0.562587682
134,1.101772727,0.796727273,0.6915,0.744113637
135,1.147105263,0.772826087,0.796510638,0.784668363
